Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Isaac Asimov,The Caves of Steel,,9780007384860,OL46401W,The Caves of Steel,Isaac Asimov,18420637-3b56-476a-a8cd-92c5ffbc68ce
H.G. Wells,The Invisible Man,,9781101084571,OL52266W,The Invisible Man,H.G. Wells,e50f3335-135e-404f-adb2-aeb83149f3a6
Iain M. Banks,Consider Phlebas,3453215303,9783453215306,OL8368432W,Consider Phlebas,Iain M. Banks,0c71176b-7de6-4f30-9462-aebeecf944a0
Kurt Vonnegut Jr.,Cat's Cradle,1439501378,9781439501375,OL98454W,Cat's Cradle,Kurt Vonnegut,24b159b9-aad3-4efe-880e-25c1bcd0504f
Jules Verne,Twenty Thousand Leagues Under the Sea,,9798463321336,OL26674157W,Twenty Thousand Leagues Under the Sea,Jules Verne,7c2ec507-1fa6-4c81-97a7-1fd4c5aab99d
Michael Crichton,The Andromeda Strain,345378482,9780345378484,OL46909W,The Andromeda Strain,Michael Crichton,ea2c6694-bf35-45ef-a3a5-a7523c146370
Carl Sagan,Contact,671434004,,OL2950903W,Contact,Carl Sagan,027c8e6d-308c-449d-894f-440635430370
Kim Stanley Robinson,Red Mars,586213899,9780586213896,OL81665W,Red Mars,Kim Stanley Robinson,b4868836-7c8e-482e-b051-c2684ca7920f
Isaac Asimov,Foundation's Edge,918372100,9780918372109,OL46302W,Foundation's Edge,Isaac Asimov,d65c5ee7-cdf0-44b8-9eb6-580b6ed2d223
Anthony Burgess,A Clockwork Orange,,9781408140970,OL261794W,A Clockwork Orange,Anthony Burgess,daee2419-391c-48e3-8e33-8ad38799004e
Dan Simmons,The Fall of Hyperion,747236046,9780747236047,OL1963251W,The Fall of Hyperion,Dan Simmons,6ddc4ee4-e5ac-4732-8e76-22e1bb55ac4b
Philip K. Dick,Ubik,8498003180,9788498003185,OL2172454W,Ubik,Philip K. Dick,c7f76f38-28fd-4066-ac84-6e7af6a319ee
