Author,Title,ISBN-10,ISBN-13,OpenLibrary Work ID
John Wyndham,The Midwich Cuckoos,0899683878,9780899683874,OL1911335W
Robert A. Heinlein,Double Star,0451126955,,OL59715W
William Gibson & Bruce Sterling,The Difference Engine,0553070282,,OL27252W
C.J. Cherryh,Downbelow Station,0886774314,9780886774318,OL60590W
David Brin,The Uplift War,055325121X,9780553251210,OL58713W
Clifford D. Simak,City,9505470282,9789505470280,OL4088358W
William Gibson,Virtual Light,0553074997,,OL27257W
George R. Stewart,Earth Abides,,9780345487131,OL2321336W
Pat Frank,"Alas, Babylon",,9780063455184,OL42437341W
Greg Bear,Darwin's Radio,0345459814,,OL16508W
Samuel R. Delany,Dhalgren,0375706682,,OL56835W
Arthur C. Clarke,The Songs of Distant Earth,0586066233,9780586066232,OL17383W
Jules Verne,From the Earth to the Moon,,9781976490958,OL41265004W
L. Ron Hubbard,Battlefield Earth,1592120539,9781592120536,OL8065187W
Robert A. Heinlein,Citizen of the Galaxy,070906800X,,OL59679W
Greg Bear,Blood Music,0743444965,9780743444965,OL16513W
Poul Anderson,Tau Zero,0575077328,9780575077324,OL90571W
Robert J. Sawyer,Flashforward,0812580346,9780812580341,OL16062082W
Edgar Rice Burroughs,The Gods of Mars,1576464482,9781576464489,OL1418240W
Ayn Rand,Anthem,1565115473,9781565115477,OL731737W
Joe Haldeman,Forever Peace,0441005667,9780441005666,OL271152W
C.J. Cherryh,Foreigner,0756402514,9780756402518,OL60612W
Sheri S. Tepper,Grass,0553285653,9780553285659,OL104514W
H.G. Wells,The First Men in the Moon,0006147658,,OL52260W
J.G. Ballard,The Drowned World,,9780007221837,OL2745976W
Greg Bear,The Forge of God,0812524330,9780812524338,OL16514W
Kurt Vonnegut Jr.,Galapagos,0586090452,9780586090459,OL98471W
Harry Harrison,The Stainless Steel Rat,1857984986,9781857984989,OL467284W
Anne McCaffrey,The Rowan,1423330293,9781423330295,OL73338W
Stanislaw Lem,The Cyberiad,0156235501,,OL2683553W
John Christopher,The White Mountains,0340042168,,OL34357858W
Philip K. Dick,Martian Time-Slip,3453217268,9783453217263,OL2172408W
Joanna Russ,The Female Man,0704347377,9780704347373,OL3332541W
Frederik Pohl & C.M. Kornbluth,The Space Merchants,,,OL42786209W
Jack McDevitt,The Engines of God,0441000770,,OL92871W
Kurt Vonnegut Jr.,Player Piano,0440170370,9780440170372,OL98484W
John Steakley,Armor,0886773687,9780886773687,OL4447466W
Joan D. Vinge,The Snow Queen,0446676640,,OL2816487W
Kate Wilhelm,Where Late the Sweet Birds Sang,0312866151,,OL506264W
Olaf Stapledon,Star Maker,1857988078,9781857988079,OL3290739W
Nevil Shute,On the Beach,3190002398,9783190002399,OL2779754W
Jack Finney,Invasion of the Body Snatchers,0722135033,9780722135037,OL20106551W
Nancy Kress,Beggars in Spain,0060733489,9780060733483,OL1847211W
Philip K. Dick,Time Out of Joint,,9780547725666,OL2172523W
Christopher Priest,The Inverted World,1590172698,9781590172698,OL166496W
Greg Egan,Diaspora,3453161815,9783453161818,OL115341W
Julian May,The Many-Coloured Land,033026656X,9780330266567,OL2360561W
Gregory Benford,Timescape,2207303330,9782207303337,OL108288W
Kage Baker,In the Garden of Iden,0340708263,9780340708262,OL20116370W
Harlan Ellison [editor],Dangerous Visions,0425022749,9780425022740,OL1737330W
Vonda N. McIntyre,Dreamsnake,0395264707,9780395264706,OL1921526W
Marge Piercy,Woman on the Edge of Time,,9781473529717,OL35706485W
Stephen R. Donaldson,The Real Story,0553295098,9780553295092,OL1902799W
Samuel R. Delany,Nova,0553236210,9780553236217,OL56833W
Robert A. Heinlein,The Man Who Sold the Moon,,9780575113107,OL59717W
C.J. Cherryh,Cyteen,0446514284,,OL60589W
H. Beam Piper,Little Fuzzy,0843959118,9780843959116,OL579085W
Olaf Stapledon,Last and First Men,185798806X,9781857988062,OL3290731W
Greg Egan,Permutation City,2221081773,9782221081778,OL115336W
William F. Nolan,Logan's Run,0553025171,9780553025170,OL16476747W
David Brin,Earth,0553057782,,OL58705W
Frederik Pohl,Man Plus,0394486765,,OL60939W
Peter Watts,Starfish,0765315963,9780765315960,OL8514693W
Robert Silverberg,Dying Inside,0283985771,9780283985775,OL9371185W
James Blish,A Case of Conscience,,9780575103986,OL53404W
Robert L. Forward,Dragon's Egg,034543529X,,OL84296W
Brian W. Aldiss,Non-Stop,1585676837,,OL892520W
Hal Clement,Mission of Gravity,0450029948,,OL60884W
Stanislaw Lem,The Futurological Congress,038028720X,9780380287208,OL31490260W
A.E. van Vogt,Slan,0792749154,9780792749158,OL8404014W
John Brunner,The Sheep Look Up,1932100059,,OL3521965W
Andy Weir,The Martian,0804139024,9780804139021,OL17091839W
Ernest Cline,Ready Player One,1524755613,9781524755614,OL15936512W
Liu Cixin,The Three-Body Problem,0521852242,9780521852241,OL15172337W
Andy Weir,Project Hail Mary,1529100623,9781529100624,OL21745884W
Martha Wells,All Systems Red,,9780765397539,OL17914663W
James S.A. Corey,Leviathan Wakes,0316129089,9780316129084,OL16114008W
Blake Crouch,Dark Matter,1101904224,,OL17358795W
Pierce Brown,Red Rising,9788427208384,,OL17076473W
Becky Chambers,The Long Way to a Small Angry Planet,0062444131,,OL17716925W
John Scalzi,Old Man's War,0765309408,,OL5734647W
Jeff VanderMeer,Annihilation,0374710775,9780374710774,OL17268007W
Andy Weir,Artemis,0525532102,9780525532101,OL17837968W
Ann Leckie,Ancillary Justice,,9780356502403,OL17062644W
Adrian Tchaikovsky,Children of Time,0316452505,9780316452502,OL17373843W
Blake Crouch,Recursion,1524759783,,OL20073906W
Stephenie Meyer,The Host,1600241662,9781600241666,OL5720033W
John Scalzi,Redshirts,0765316994,"9780765316998, 
    9781429963602",OL16564627W
Hugh Howey,Wool Omnibus,1469984202,9781469984209,OL31204527W
Margaret Atwood,Oryx and Crake,0747562598,,OL675722W
Richard K. Morgan,Altered Carbon,1400151376,9781400151370,OL8698136W
Ted Chiang,Stories of Your Life and Others,076530418X,,OL6216050W
Emily St. John Mandel,Sea of Tranquility,0593556593,9780593556597,OL24731706W
Becky Chambers,A Psalm for the Wild-Built,1250236215,9781250236210,OL22561871W
Nnedi Okorafor,Binti,0765385252,,OL19330487W
Neal Stephenson,Seveneves,0062190377,9780062190376,OL17829905W
Brandon Sanderson,Skyward,0399555773,9780399555770,OL18191919W
Paolo Bacigalupi,The Windup Girl,,9781597801584,OL15000756W
Ted Chiang,Exhalation,1101947888,9781101947883,OL20149336W
Alastair Reynolds,Revelation Space,1857987489,9781857987485,OL5724837W
Dennis E. Taylor,We Are Legion (We Are Bob),,,
John Scalzi,Lock In,,9780575134355,OL19627440W
Ernest Cline,Armada,,9788466658935,OL17343072W
John Scalzi,The Collapsing Empire,076538888X,9780765388889,OL20048398W
Neal Stephenson,Anathem,006147410X,9780061474101,OL14911626W
Becky Chambers,"To Be Taught, If Fortunate",1473697166,9781473697164,OL20642211W
Peter Watts,Blindsight,0765312182,9780765312181,OL8514692W
Peter F. Hamilton,Pandora's Star,0330493310,9780330493314,OL474061W
John Scalzi,The Kaiju Preservation Society,0765389126,9780765389121,OL24337701W
Robert Charles Wilson,Spin,0765309386,,OL14951012W
Pratchett & Baxter,The Long Earth,,9780552164085,OL16769202W
Matt Haig,The Humans,,9781476727912,OL16805374W
Blake Crouch,Upgrade,,9781529045376,OL26672478W
Micaiah Johnson,The Space Between Worlds,0593135059,9780593135051,OL20884745W
Michael Crichton,Prey,0066214122,9780066214122,OL46883W
Amie Kaufman & Meagan Spooner,These Broken Stars,0804123438,9780804123433,OL20370233W
China Miéville,Embassytown,,9780230760417,OL16001889W
Yoon Ha Lee,Ninefox Gambit,1781084491,9781781084496,OL20033218W
Jeff VanderMeer,Borne,,9780374115241,OL17762236W
Daniel H. Wilson,Robopocalypse,,9780385533850,OL15673300W
Hannu Rajaniemi,The Quantum Thief,0765367661,9780765367662,OL17699438W
Dan Simmons,Ilium,8466615806,,OL1963271W
Jack Campbell,Dauntless,0441014186,9780441014187,OL15687124W
Connie Willis,Blackout,0345519833,9780345519832,OL14914265W
Everina Maxwell,Winter's Orbit,1250758831,9781250758835,OL20850223W
Dmitry Glukhovsky,Metro 2033,,9783453532984,OL16796766W
Kim Stanley Robinson,Aurora,,9780356500485,OL17346803W
Mur Lafferty,Six Wakes,0316389684,9780316389686,OL17879630W
William Gibson,Pattern Recognition,0399149864,,OL15014715W
Alastair Reynolds,Chasm City,0441009123,9780441009121,OL5724831W
Kim Stanley Robinson,2312,,9780316098120,OL16298967W
William Gibson,The Peripheral,0670921556,,OL17268037W
Ann Leckie,Provenance,,9780356506982,OL18149680W
Peter F. Hamilton,The Dreaming Void,140508880X,9781405088800,OL474058W
Daniel Suarez,Daemon,1101007516,9781101007518,OL13646905W
Sarah Gailey,The Echo Wife,125017466X,9781250174666,OL20851667W
Rachel Bach,Fortune's Pawn,1452666032,9781452666037,OL24390625W
Jodi Taylor,Just One Damned Thing After Another,191093948X,9781910939482,OL20028851W
Iain M. Banks,The Algebraist,1597800449,9781597800440,OL8368450W
Kim Stanley Robinson,The Ministry for the Future,0316300144,9780316300148,OL21680947W
Catherynne M. Valente,Space Opera,1472115074,9781472115072,OL19741544W
Alastair Reynolds,Pushing Ice,0441014011,9780441014019,OL5724844W
John Scalzi,The Android's Dream,0765309416,9780765309419,OL5734644W
Ann Aguirre,Grimspace,,,
Charles Stross,Accelerando,0441012841,9780441014156,OL2465670W
Charles Yu,How to Live Safely in a Sci-Fi Universe,,,
Michael Crichton,Next,0060872985,9780060872984,OL46904W
B. Herbert & K.J. Anderson,The Butlerian Jihad,0340823321,9780340823323,OL14961038W
Kass Morgan,The 100,,9780316381963,OL20640523W
Shaun David Hutchinson,We Are the Ants,148144963X,9781481449632,OL17934983W
Sue Burke,Semiosis,076539135X,9780765391353,OL19734824W
Elan Mastai,All Our Wrong Todays,1101985151,9781101985151,OL20170178W
Neal Stephenson,Readme,,,
Vernor Vinge,Rainbows End,0312856849,9780312856847,OL1975712W
Charles Stross,The Atrocity Archives,"1930846231, 
    1930846258",,OL2465682W
Marko Kloos,Terms of Enlistment,1477809783,9781477809785,OL20003263W
Kim Stanley Robinson,New York 2140,0316262315,9780316262316,OL17937993W
Peter F. Hamilton,Great North Road,,9780330521772,OL16805750W
Edward Ashton,Mickey7,1250275032,9781250275035,OL24546118W
Kameron Hurley,The Stars Are Legion,1481447939,9781481447935,OL19618080W
Charles Stross,Singularity Sky,0441010725,,OL2465688W
Yume Kitasei,The Deep Sky,,9781250875334,OL28888051W
Jessie Mihalik,Polaris Rising,0062802380,9780062802385,OL20781739W
Alastair Reynolds,Blue Remembered Earth,0425256162,9780425256169,OL16532269W
Alastair Reynolds,Revenger,0575090545,9780575090545,OL17857694W
Neal Asher,Gridlinked,0765307359,,OL5737668W
Eric S. Nylund,Halo: The Fall of Reach,1508284873,9781508284871,OL20523203W
David Weber,Off Armageddon Reef,0765315009,9780765315007,OL8259708W
Elizabeth Moon,The Speed of Dark,0345447557,,OL14871719W
Peter F. Hamilton,Fallen Dragon,3404232569,9783404232567,OL474021W
Craig Alanson,Columbus Day,1520126247,9781520126241,OL24145125W
